img_name,top1,top1_prob,top2,top2_prob,top3,top3_prob
2024-08-27_09-43-28-944747_ID4_crop.jpg,none_dirt,0.82,none_bird,0.02,none_bg,0.01
2024-08-27_09-43-30-382373_ID2_crop.jpg,fly_sarco,0.89,lepi,0.01,bug,0.0
2024-08-27_09-43-30-405810_ID4_crop.jpg,none_dirt,0.85,none_bird,0.01,lepi,0.01
2024-08-27_09-43-31-815539_ID2_crop.jpg,fly_sarco,0.88,hfly_episyr,0.01,bee_bombus,0.01
2024-08-27_09-43-33-261777_ID2_crop.jpg,fly_sarco,0.87,hfly_episyr,0.01,bee_bombus,0.01
2024-08-27_09-43-33-290046_ID4_crop.jpg,none_dirt,0.75,none_bg,0.05,none_bird,0.04
2024-08-27_09-43-34-701399_ID2_crop.jpg,fly_sarco,0.88,hfly_episyr,0.01,other,0.01
2024-08-27_09-43-34-733251_ID4_crop.jpg,none_dirt,0.84,none_bg,0.02,none_bird,0.01
2024-08-27_09-43-36-169883_ID2_crop.jpg,fly_sarco,0.87,hfly_episyr,0.01,bee_bombus,0.01
2024-08-27_09-43-36-204192_ID4_crop.jpg,none_dirt,0.62,none_bg,0.09,none_bird,0.06
2024-08-27_09-43-37-606553_ID2_crop.jpg,fly_sarco,0.85,fly,0.01,beetle,0.01
2024-08-27_09-43-37-653083_ID4_crop.jpg,none_dirt,0.76,none_bird,0.03,none_bg,0.03
2024-08-27_09-43-39-078176_ID2_crop.jpg,fly_sarco,0.87,bee_bombus,0.01,hfly_eupeo,0.01
2024-08-27_09-43-39-098426_ID4_crop.jpg,none_dirt,0.65,none_bird,0.08,none_bg,0.07
2024-08-27_09-43-40-515638_ID2_crop.jpg,fly_sarco,0.85,bug,0.01,lepi,0.01
2024-08-27_09-43-40-544856_ID4_crop.jpg,none_dirt,0.78,none_bird,0.03,none_bg,0.03
2024-08-27_09-43-43-383305_ID4_crop.jpg,none_dirt,0.81,none_bg,0.03,none_bird,0.02
2024-08-27_09-43-44-802992_ID4_crop.jpg,none_dirt,0.61,none_bird,0.11,none_bg,0.06
2024-08-27_09-43-46-234009_ID4_crop.jpg,none_dirt,0.71,none_bird,0.07,none_bg,0.04
2024-08-27_09-43-47-622435_ID4_crop.jpg,none_dirt,0.53,none_bird,0.12,none_bg,0.08
2024-08-27_09-43-49-025410_ID4_crop.jpg,none_dirt,0.69,none_bg,0.07,none_bird,0.04
2024-08-27_09-43-50-467848_ID4_crop.jpg,none_dirt,0.51,none_bird,0.15,none_bg,0.1
2024-08-27_09-43-51-856035_ID4_crop.jpg,none_bird,0.4,none_dirt,0.2,none_bg,0.13
2024-08-27_09-43-53-276693_ID4_crop.jpg,none_dirt,0.46,none_bird,0.17,none_bg,0.1
2024-08-27_09-43-54-714218_ID4_crop.jpg,none_dirt,0.62,none_bg,0.13,none_bird,0.05
2024-08-27_09-43-56-137717_ID4_crop.jpg,none_dirt,0.6,none_bird,0.1,none_bg,0.08
2024-08-27_09-43-57-895547_ID4_crop.jpg,none_dirt,0.65,none_bird,0.07,none_bg,0.06
2024-08-27_09-43-59-336262_ID4_crop.jpg,none_dirt,0.77,none_bg,0.03,none_bird,0.03
2024-08-27_09-44-00-745897_ID4_crop.jpg,none_dirt,0.72,none_bird,0.06,none_bg,0.03
2024-08-27_09-44-02-197459_ID4_crop.jpg,none_dirt,0.46,none_bird,0.16,none_bg,0.13
2024-08-27_09-44-03-588223_ID4_crop.jpg,none_dirt,0.78,none_bird,0.03,none_bg,0.02
2024-08-27_09-44-05-366057_ID4_crop.jpg,none_dirt,0.48,none_bird,0.17,none_bg,0.1
2024-08-27_09-44-06-850226_ID4_crop.jpg,none_dirt,0.6,none_bg,0.1,none_bird,0.07
2024-08-27_09-44-08-269286_ID4_crop.jpg,none_dirt,0.78,none_bird,0.04,none_bg,0.03
2024-08-27_09-44-09-666095_ID4_crop.jpg,none_bg,0.3,none_bird,0.22,none_dirt,0.21
2024-08-27_09-44-11-083261_ID4_crop.jpg,none_dirt,0.54,none_bird,0.12,none_bg,0.09
2024-08-27_09-44-12-546064_ID4_crop.jpg,none_dirt,0.71,none_bird,0.05,none_bg,0.05
2024-08-27_09-44-13-953394_ID4_crop.jpg,none_dirt,0.78,none_bird,0.03,none_bg,0.02
2024-08-27_09-44-15-388787_ID4_crop.jpg,none_dirt,0.41,none_bird,0.18,none_bg,0.11
2024-08-27_09-44-16-795344_ID4_crop.jpg,none_dirt,0.47,none_bird,0.15,none_bg,0.12
2024-08-27_09-44-18-206955_ID4_crop.jpg,none_dirt,0.58,none_bg,0.12,none_bird,0.07
2024-08-27_09-44-19-659142_ID4_crop.jpg,none_dirt,0.61,none_bird,0.1,none_bg,0.06
2024-08-27_09-44-21-101085_ID4_crop.jpg,none_dirt,0.63,none_bird,0.1,none_bg,0.04
2024-08-27_09-44-22-496357_ID4_crop.jpg,none_dirt,0.69,none_bird,0.06,none_bg,0.04
2024-08-27_09-44-23-930795_ID4_crop.jpg,none_dirt,0.77,none_bird,0.03,other,0.02
2024-08-27_09-44-25-376332_ID4_crop.jpg,none_dirt,0.32,none_bg,0.23,none_bird,0.19
2024-08-27_09-44-26-803802_ID4_crop.jpg,none_dirt,0.81,none_bg,0.02,none_bird,0.02
2024-08-27_09-44-28-247672_ID4_crop.jpg,none_dirt,0.78,none_bird,0.04,none_bg,0.02
2024-08-27_09-44-32-532309_ID4_crop.jpg,none_dirt,0.37,none_bird,0.23,none_bg,0.09
2024-08-27_09-44-33-965378_ID4_crop.jpg,none_dirt,0.56,none_bird,0.12,none_bg,0.07
2024-08-27_09-44-35-412639_ID4_crop.jpg,none_dirt,0.41,none_bird,0.15,none_bg,0.13
2024-08-27_09-44-36-829809_ID4_crop.jpg,none_bird,0.31,none_dirt,0.25,none_bg,0.16
2024-08-27_09-44-38-229428_ID4_crop.jpg,none_dirt,0.49,none_bird,0.17,none_bg,0.09
2024-08-27_09-44-41-071833_ID4_crop.jpg,none_dirt,0.56,none_bird,0.12,none_bg,0.07
2024-08-27_09-44-42-487210_ID4_crop.jpg,none_dirt,0.68,none_bird,0.07,none_bg,0.04
2024-08-27_09-44-43-932039_ID4_crop.jpg,none_bird,0.32,none_bg,0.27,none_dirt,0.16
2024-08-27_09-44-45-379536_ID4_crop.jpg,none_dirt,0.44,none_bird,0.2,none_bg,0.08
2024-08-27_09-44-48-303078_ID4_crop.jpg,none_dirt,0.53,none_bird,0.15,none_bg,0.05
2024-08-27_09-44-49-727772_ID4_crop.jpg,none_dirt,0.76,none_bg,0.03,none_bird,0.03
2024-08-27_09-44-51-144426_ID4_crop.jpg,none_dirt,0.8,none_bird,0.03,none_bg,0.02
2024-08-27_09-44-52-576121_ID4_crop.jpg,none_dirt,0.67,none_bird,0.08,none_bg,0.03
2024-08-27_09-44-54-022000_ID4_crop.jpg,none_dirt,0.79,none_bird,0.03,none_bg,0.02
2024-08-27_09-44-55-440921_ID4_crop.jpg,none_dirt,0.69,other,0.05,none_bird,0.04
2024-08-27_09-44-56-866429_ID4_crop.jpg,none_dirt,0.77,none_bird,0.03,none_bg,0.02
2024-08-27_09-44-58-333902_ID4_crop.jpg,none_dirt,0.47,none_bird,0.17,none_bg,0.07
2024-08-27_09-44-59-763714_ID4_crop.jpg,none_dirt,0.8,none_bird,0.03,none_bg,0.03
2024-08-27_09-45-01-175765_ID4_crop.jpg,none_dirt,0.37,none_bird,0.22,none_bg,0.14
2024-08-27_09-45-02-580494_ID4_crop.jpg,none_dirt,0.62,none_bird,0.1,none_bg,0.06
2024-08-27_09-45-03-996831_ID4_crop.jpg,none_dirt,0.73,none_bird,0.05,lepi,0.02
2024-08-27_09-45-05-409189_ID4_crop.jpg,none_dirt,0.82,none_bird,0.02,none_bg,0.01
2024-08-27_09-45-06-791750_ID4_crop.jpg,none_dirt,0.78,none_bird,0.03,none_bg,0.02
2024-08-27_09-45-08-193539_ID4_crop.jpg,none_dirt,0.79,other,0.03,none_bird,0.02
2024-08-27_09-45-09-596233_ID4_crop.jpg,none_dirt,0.76,other,0.04,none_bird,0.03
2024-08-27_09-45-10-988637_ID4_crop.jpg,none_dirt,0.76,none_bird,0.04,lepi,0.02
2024-08-27_09-45-12-403455_ID4_crop.jpg,none_dirt,0.6,none_bird,0.11,none_bg,0.07
2024-08-27_09-45-13-837656_ID4_crop.jpg,none_dirt,0.73,other,0.04,none_bird,0.04
